Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.53,Capital Region,2021-09-22T19:28:08.275Z
NFCDCH-02-GTHDXW9DP9TC8GWYEHRUM53DXUUYQQ,NL,Chrome PC (Cadmium),Chrome PC (Cadmium),2001:1c00:e11:f000:1072:494a:6941:c01f,South Holland,2021-09-22T18:39:54.477Z
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-22589-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,DK,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,213.237.85.157,Zealand,2021-09-22T16:43:01.263Z
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-22589-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,DK,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,213.32.243.53,Capital Region,2021-09-22T08:25:47.896Z
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-22589-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,DK,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,213.237.83.83,Capital Region,2021-09-21T19:28:03.466Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.83.83,Capital Region,2021-09-21T18:32:51.226Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.53,Capital Region,2021-09-21T09:24:24.466Z
LGTV20193=31009922320,DK,LG 2019 RTK K5Lp Standard UHD TV Smart TV,LG 2019 RTK K5Lp Standard UHD TV Smart TV,213.32.243.26,Southern Denmark,2021-09-20T19:54:52.316Z
NFCDCH-02-GTHDXW9DP9TC8GWYEHRUM53DXUUYQQ,NL,Chrome PC (Cadmium),Chrome PC (Cadmium),2001:1c00:e11:f000:7123:db8:33b4:6d57,South Holland,2021-09-20T18:42:09.328Z
NFCDCH-02-GTHDXW9DP9TC8GWYEHRUM53DXUUYQQ,NL,Chrome PC (Cadmium),Chrome PC (Cadmium),2001:1c00:e11:f000:c4aa:9086:28a2:6d0f,South Holland,2021-09-19T15:36:47.426Z
LGTV20165=51002707156,DK,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,LG 2016 RTK K2L STD RGBW UHD TV Smart TV,213.237.80.211,Capital Region,2021-09-18T23:08:32.586Z
NFCDCH-02-GTHDXW9DP9TC8GWYEHRUM53DXUUYQQ,NL,Chrome PC (Cadmium),Chrome PC (Cadmium),2001:1c00:e11:f000:e9b1:7e48:1c41:b06c,South Holland,2021-09-18T19:33:06.985Z
NFCDCH-02-GTHDXW9DP9TC8GWYEHRUM53DXUUYQQ,NL,Chrome PC (Cadmium),Chrome PC (Cadmium),2001:1c00:e11:f000:449e:aa69:da64:9701,South Holland,2021-09-18T16:37:55.725Z
NFANDROID1-PRV-P-L3-SAMSUSM-G973F-22589-081F8EC7F9C079F678B040BA5E1283DAD98E5E61AEB72B2C3E90122A0EFBB9A98,DK,Android DefaultWidevineL3Phone Android Phone,Android DefaultWidevineL3Phone Android Phone,213.237.80.211,Capital Region,2021-09-18T15:15:20.979Z
NFCDCH-02-GTHDXW9DP9TC8GWYEHRUM53DXUUYQQ,NL,Chrome PC (Cadmium),Chrome PC (Cadmium),2001:1c00:e11:f000:e1b2:5110:3a3a:36bd,South Holland,2021-09-17T22:28:12.557Z
NFCDCH-02-GTHDXW9DP9TC8GWYEHRUM53DXUUYQQ,NL,Chrome PC (Cadmium),Chrome PC (Cadmium),2001:1c00:e11:f000:481e:8700:fb07:61ab,South Holland,2021-09-16T19:13:09.584Z
